,cw_count_c,cw_count_s,cws_c,cws_s
church/N/br-e13/1916,7,9,complete/V;constantine/N;distance/N;gate/N;irene/N;past/J;road/N,a./N;complete/V;constantine/N;distance/N;gate/N;irene/N;past/J;road/N;st./N
church/N/br-e13/754,9,9,be/V;begin/V;complete/V;constantine/N;first/J;fourth/J;justinian/N;start/V;year/N,be/V;begin/V;complete/V;constantine/N;first/J;fourth/J;justinian/N;start/V;year/N
church/N/br-e13/808,7,7,be/V;byzantine/J;eastern/J;emperor/N;empire/N;remain/V;splendid/J,be/V;byzantine/J;eastern/J;emperor/N;empire/N;remain/V;splendid/J
church/N/br-f15/1245,10,10,congress/N;happen/V;law/N;many/N;prohibition/N;protestant/J;push/V;unite/V;war/N;world/N,congress/N;happen/V;law/N;many/N;prohibition/N;protestant/J;push/V;unite/V;war/N;world/N
church/N/br-f15/1425,11,11,be/V;century/N;christian/N;condemn/V;contraception/N;contrary/J;divine/N;immoral/J;law/N;of/N;unnatural/J,be/V;century/N;christian/N;condemn/V;contraception/N;contrary/J;divine/N;immoral/J;law/N;of/N;unnatural/J
church/N/br-f15/1720,10,11,artificial/J;birth/N;committee/N;control/N;council/N;federal/N;member/N;method/N;of/N;ratify/V,28/J;artificial/J;birth/N;committee/N;control/N;council/N;federal/N;member/N;method/N;of/N;ratify/V
church/N/br-f15/1887,8,9,board/N;council/N;general/J;national/J;of/N;organization/N;protestant/J;us/N,board/N;council/N;general/J;largest/J;national/J;of/N;organization/N;protestant/J;us/N
church/N/br-f15/1944,12,12,be/V;board/N;continence/N;contraception/N;declare/V;general/J;hold/V;most/N;of/J;periodic/J;protestant/J;right/J,be/V;board/N;continence/N;contraception/N;declare/V;general/J;hold/V;most/N;of/J;periodic/J;protestant/J;right/J
church/N/br-f15/1998,7,7,action/N;be/V;christian/N;civil/J;condemn/V;forbid/V;law/N,action/N;be/V;christian/N;civil/J;condemn/V;forbid/V;law/N
church/N/br-f15/776,9,9,be/V;consider/V;infertile/J;method/N;nature/N;period/N;provide/V;safe/J;use/N,be/V;consider/V;infertile/J;method/N;nature/N;period/N;provide/V;safe/J;use/N
church/N/br-f15/824,10,11,catholic/J;chemical/J;church/N;distinction/N;make/V;mechanical/J;moral/J;orthodox/J;rhythm/N;roman/J,catholic/J;chemical/J;church/N;distinction/N;make/V;mechanical/J;moral/J;most/J;orthodox/J;rhythm/N;roman/J
church/N/br-f15/862,10,10,agreement/N;be/V;chance/N;ground/N;little/J;old/J;position/N;scriptural/J;seem/V;testament/N,agreement/N;be/V;chance/N;ground/N;little/J;old/J;position/N;scriptural/J;seem/V;testament/N
church/N/br-f15/882,8,9,century/N;decision/N;doctor/N;early/J;father/N;teaching/N;tradition/N;unbroken/J,century/N;decision/N;doctor/N;early/J;father/N;nineteen/J;teaching/N;tradition/N;unbroken/J
church/N/br-f44/1076,8,9,be/V;congregation/N;economic/J;informal/J;lay/J;level/N;mission/N;process/N,be/V;co-optation/N;congregation/N;economic/J;informal/J;lay/J;level/N;mission/N;process/N
church/N/br-f44/1106,8,9,be/V;class/N;congregation/N;iong/N;nucleus/N;process/N;social/J;strengthen/V,be/V;class/N;co-optation/N;congregation/N;iong/N;nucleus/N;process/N;social/J;strengthen/V
church/N/br-f44/1122,8,9,environs/N;fit/V;iong/N;people/N;pool/N;process/N;provide/V;sufficient/J,co-optation/N;environs/N;fit/V;iong/N;people/N;pool/N;process/N;provide/V;sufficient/J
church/N/br-f44/1189,10,10,be/V;clergy/N;confine/V;contact/N;member/N;new/J;pastoral/J;proclamation/N;publicity/N;reach/V,be/V;clergy/N;confine/V;contact/N;member/N;new/J;pastoral/J;proclamation/N;publicity/N;reach/V
church/N/br-f44/1262,8,8,account/V;economic/J;evident/J;extension/N;major/J;make/V;recruitment/N;share/N,account/V;economic/J;evident/J;extension/N;major/J;make/V;recruitment/N;share/N
church/N/br-f44/1285,8,10,be/V;contemporary/J;economic/J;form/N;integration/N;method/N;mission/N;principal/J,be/V;co-optation/N;contemporary/J;economic/J;form/N;integration/N;method/N;mission/N;principal/J;two/J
church/N/br-f44/1427,8,9,denomination/N;fact/N;generation/N;have/V;major/J;metropolitan/J;move/V;single/J,denomination/N;every/J;fact/N;generation/N;have/V;major/J;metropolitan/J;move/V;single/J
church/N/br-f44/1616,8,9,be/V;become/V;culture/N;denominational/J;economy/N;evident/J;involved/J;metropolis/N,be/V;become/V;culture/N;denominational/J;economy/N;evident/J;involved/J;metropolis/N;middle-class/J
church/N/br-f44/1681,9,9,counteract/V;creature/N;environment/N;force/N;have/V;interdependence/N;lead/N;metropolitan/J;take/V,counteract/V;creature/N;environment/N;force/N;have/V;interdependence/N;lead/N;metropolitan/J;take/V
church/N/br-f44/1800,7,10,cycle/N;decay/N;experience/V;have/V;lower/J;suburb/N;way/N,cycle/N;decay/N;experience/V;have/V;lower/J;middle-class/J;rebuilding/N;same/J;suburb/N;way/N
church/N/br-f44/1915,8,10,argue/V;be/V;center/V;culture/N;fellowship/N;lead/V;projection/N;various/J,any/J;argue/V;be/V;center/V;culture/N;fellowship/N;lead/V;middle-class/J;projection/N;various/J
church/N/br-f44/2012,8,8,association/N;be/V;chapter/N;communal/J;denominational/J;expression/N;next/J;style/N,association/N;be/V;chapter/N;communal/J;denominational/J;expression/N;next/J;style/N
church/N/br-f44/2178,11,11,cage/N;captivity/N;conformity/N;fashion/V;have/V;imprison/V;iron/N;perplexing/J;question/N;remain/V;suburban/J,cage/N;captivity/N;conformity/N;fashion/V;have/V;imprison/V;iron/N;perplexing/J;question/N;remain/V;suburban/J
church/N/br-f44/2198,8,8,class/N;club/N;identity/N;middle/N;remain/V;social/J;turn/V;vehicle/N,class/N;club/N;identity/N;middle/N;remain/V;social/J;turn/V;vehicle/N
church/N/br-f44/343,10,10,area/N;be/V;core/N;have/V;high/J;metropolitan/J;mobility/N;recruit/V;residential/J;stratum/N,area/N;be/V;core/N;have/V;high/J;metropolitan/J;mobility/N;recruit/V;residential/J;stratum/N
church/N/br-f44/368,9,9,adequate/J;collapse/V;high/J;lose/V;lower/J;member/N;need/V;recruit/N;status/N,adequate/J;collapse/V;high/J;lose/V;lower/J;member/N;need/V;recruit/N;status/N
church/N/br-f44/647,6,7,be/V;church/N;circle/N;mission/N;talk/N;theological/J,be/V;church/N;circle/N;mission/N;much/J;talk/N;theological/J
church/N/br-f44/654,7,7,be/V;church/N;fact/N;have/V;mission/N;stress/V;theologian/N,be/V;church/N;fact/N;have/V;mission/N;stress/V;theologian/N
church/N/br-f44/667,9,9,be/V;do/V;exist/V;fact/N;have/V;own/J;sake/N;stress/V;theologian/N,be/V;do/V;exist/V;fact/N;have/V;own/J;sake/N;stress/V;theologian/N
church/N/br-f44/868,8,9,be/V;congregational/J;have/V;illuminate/V;outreach/N;pittsburgh/N;study/N;study/V,be/V;congregational/J;have/V;illuminate/V;one/J;outreach/N;pittsburgh/N;study/N;study/V
church/N/br-f44/890,9,10,be/V;initial/J;member/N;new/J;percent/N;pittsburgh/N;recruit/V;sample/N;situation/N,60/J;be/V;initial/J;member/N;new/J;percent/N;pittsburgh/N;recruit/V;sample/N;situation/N
church/N/br-f44/924,6,6,case/N;contact/N;friendly/J;member/N;organization/N;percent/N,case/N;contact/N;friendly/J;member/N;organization/N;percent/N
church/N/br-f44/986,10,10,contact/N;different/J;friendly/J;join/V;look/V;missionary/N;new/J;outreach/N;people/N;respond/V,contact/N;different/J;friendly/J;join/V;look/V;missionary/N;new/J;outreach/N;people/N;respond/V
church/N/br-g02/1539,8,8,breakup/N;claimant/N;empire/N;holy/J;influence/N;loyalty/N;roman/J;such/N,breakup/N;claimant/N;empire/N;holy/J;influence/N;loyalty/N;roman/J;such/N
church/N/br-g12/1270,9,9,classical/J;gesture/V;glory/N;line/N;madeleine/N;napoleon/N;ol/V;temple/N;think/V,classical/J;gesture/V;glory/N;line/N;madeleine/N;napoleon/N;ol/V;temple/N;think/V
church/N/br-g12/1806,7,7,be/V;bus/N;deep/J;flurry/V;hand/N;irish/J;pass/V,be/V;bus/N;deep/J;flurry/V;hand/N;irish/J;pass/V
church/N/br-g12/544,8,9,be/V;cafe/N;conversation/N;ensue/V;have/V;madeleine/N;opposite/J;sidewalk/N,be/V;cafe/N;conversation/N;engrossing/J;ensue/V;have/V;madeleine/N;opposite/J;sidewalk/N
church/N/br-g13/1130,8,8,be/V;destroy/V;enemy/N;implacable/J;museum/N;shrine/N;state/N;temple/N,be/V;destroy/V;enemy/N;implacable/J;museum/N;shrine/N;state/N;temple/N
church/N/br-h17/1199,7,7,administrative/J;approval/N;defense/N;home/N;kill/V;reclassification/N;willingness/N,administrative/J;approval/N;defense/N;home/N;kill/V;reclassification/N;willingness/N
church/N/br-k01/769,11,13,be/V;bend/V;child/N;have/V;house/N;rachel/N;ragged/J;row/N;scotty/N;section/N;storefront/N,be/V;bend/V;child/N;have/V;house/N;negro/J;peeling/J;rachel/N;ragged/J;row/N;scotty/N;section/N;storefront/N
church/N/br-k04/1076,9,10,be/V;conduct/V;far/J;liquor/N;one/N;people/N;saloon/N;white/J;white/N,be/V;conduct/V;far/J;liquor/N;one/N;people/N;saloon/N;two/J;white/J;white/N
church/N/br-k04/1117,7,8,be/V;gambling/N;house/N;other/J;quiet/J;shutter/N;side/N,be/V;gambling/N;house/N;other/J;quiet/J;shutter/N;side/N;well-kept/J
church/N/br-k04/1145,6,7,be/V;carlson/N;deacon/N;house/N;janitor/N;kent/N,be/V;called/J;carlson/N;deacon/N;house/N;janitor/N;kent/N
church/N/br-k04/1353,7,7,be/V;better/J;home/N;land/N;move/V;negro/N;occur/V,be/V;better/J;home/N;land/N;move/V;negro/N;occur/V
church/N/br-k04/1433,6,6,be/V;dollar/N;fall/V;have/V;look/V;money/N,be/V;dollar/N;fall/V;have/V;look/V;money/N
church/N/br-k04/1485,8,9,be/V;better/J;businesslike/J;church/N;clear/J;conduct/N;have/V;organization/N,be/V;better/J;businesslike/J;church/N;clear/J;conduct/N;have/V;more/J;organization/N
church/N/br-k04/1530,8,8,be/V;elder/N;give/N;move/V;old/J;plan/N;preside/V;river/N,be/V;elder/N;give/N;move/V;old/J;plan/N;preside/V;river/N
church/N/br-k04/1578,9,9,arrear/N;bank/N;be/V;declare/V;hold/V;in/J;interest/N;mortgage/N;old/J,arrear/N;bank/N;be/V;declare/V;hold/V;in/J;interest/N;mortgage/N;old/J
church/N/br-k04/1634,9,10,be/V;find/V;folk/N;mortgage/N;new/J;propose/V;rebuild/V;terms/N;wilson/N,be/V;colored/J;find/V;folk/N;mortgage/N;new/J;propose/V;rebuild/V;terms/N;wilson/N
church/N/br-k04/1685,9,9,be/V;board/N;deacon/N;meet/V;opposition/N;proposition/N;remove/V;unanimous/J;very/J,be/V;board/N;deacon/N;meet/V;opposition/N;proposition/N;remove/V;unanimous/J;very/J
church/N/br-k04/1807,10,10,be/V;gambling/N;have/V;invest/V;money/N;of/N;saloon/N;store/N;tenement/N;white/N,be/V;gambling/N;have/V;invest/V;money/N;of/N;saloon/N;store/N;tenement/N;white/N
church/N/br-k04/1874,6,8,be/V;last/V;old/J;plan/V;repair/N;year/N,be/V;five/J;last/V;old/J;plan/V;repair/N;ten/J;year/N
church/N/br-k04/2307,4,4,all/J;career/N;church/N;methodist/N,all/J;career/N;church/N;methodist/N
church/N/br-k04/356,8,8,black/N;board/N;deacon/N;head/V;man/N;rich/J;support/V;white/N,black/N;board/N;deacon/N;head/V;man/N;rich/J;support/V;white/N
church/N/br-k04/397,7,7,be/V;characteristic/J;corner/N;orgy/N;religious/J;thing/N;weekly/J,be/V;characteristic/J;corner/N;orgy/N;religious/J;thing/N;weekly/J
church/N/br-k04/828,7,7,catt/N;home/N;member/N;name/V;old/J;wilson/N;woman/N,catt/N;home/N;member/N;name/V;old/J;wilson/N;woman/N
church/N/br-k04/877,10,10,born/J;conduct/V;critic/N;devoted/J;dissenter/N;home/N;marry/V;perpetual/J;spotless/J;to/J,born/J;conduct/V;critic/N;devoted/J;dissenter/N;home/N;marry/V;perpetual/J;spotless/J;to/J
church/N/br-k04/923,9,9,be/V;chief/J;condition/N;look/V;pastor/N;repository/N;salary/N;study/V;wilson/N,be/V;chief/J;condition/N;look/V;pastor/N;repository/N;salary/N;study/V;wilson/N
church/N/br-k04/975,7,8,be/V;deacon/N;dirty/J;mention/V;nothing/N;repair/V;say/V,be/V;deacon/N;dirty/J;mention/V;neglected/J;nothing/N;repair/V;say/V
church/N/br-k06/1389,8,9,all/J;be/V;heavy/J;lance/N;pull/V;slip/V;stevie/N;strength/N,all/J;be/V;heavy/J;lance/N;peaked/J;pull/V;slip/V;stevie/N;strength/N
church/N/br-k06/1473,8,9,be/V;coattail/N;dark/J;extraordinary/J;figure/N;luminescence/N;stare/V;tuck/V,be/V;coattail/N;dark/J;extraordinary/J;figure/N;luminescence/N;stare/V;tuck/V;wreathed/J
church/N/br-k06/1925,9,9,church/N;draw/N;flash/N;illumine/V;lightning/N;open/J;other/J;steeple/N;strike/V,church/N;draw/N;flash/N;illumine/V;lightning/N;open/J;other/J;steeple/N;strike/V
church/N/br-k06/528,10,10,be/V;brick/N;climb/V;green/J;head/N;ivy/N;red/J;roof/N;slate/N;wall/N,be/V;brick/N;climb/V;green/J;head/N;ivy/N;red/J;roof/N;slate/N;wall/N
church/N/br-k06/571,9,9,a/J;be/V;clock/N;foot/N;high/J;loud/J;million/N;steeple/N;tower/N,a/J;be/V;clock/N;foot/N;high/J;loud/J;million/N;steeple/N;tower/N
church/N/br-k06/659,9,9,advance/V;creature/N;headless/J;lean/V;long/J;orange/N;shapeless/J;square/N;steeple/N,advance/V;creature/N;headless/J;lean/V;long/J;orange/N;shapeless/J;square/N;steeple/N
church/N/br-k06/852,8,8,be/V;church/N;clock/N;draw/N;high/J;papa/N;preacher/N;steeple/N,be/V;church/N;clock/N;draw/N;high/J;papa/N;preacher/N;steeple/N
church/N/br-k10/1422,6,7,be/V;concern/N;issue/N;john/N;reply/N;social/J,be/V;concern/N;issue/N;john/N;reply/N;same/J;social/J
church/N/br-k10/1444,8,9,affect/V;anything/N;be/V;burn/V;concern/N;have/V;righteousness/N;soul/N,affect/V;anything/N;be/V;burn/V;concern/N;have/V;righteousness/N;soul/N;tears/N
church/N/br-k10/1801,8,8,be/V;bishop/N;have/V;of/N;paris/N;persecute/V;rome/N;say/V,be/V;bishop/N;have/V;of/N;paris/N;persecute/V;rome/N;say/V
church/N/br-k10/205,6,6,be/V;couple/N;have/V;punish/V;respect/V;tell/V,be/V;couple/N;have/V;punish/V;respect/V;tell/V
church/N/br-k10/257,7,7,answer/N;finger/N;make/V;point/V;say/V;sin/N;ungodly/J,answer/N;finger/N;make/V;point/V;say/V;sin/N;ungodly/J
church/N/br-k10/271,7,7,be/V;decry/V;evil/N;john/N;reply/N;say/V;sin/N,be/V;decry/V;evil/N;john/N;reply/N;say/V;sin/N
church/N/br-k10/561,8,8,be/V;body/N;canon/N;early/J;have/V;november/N;reconcile/V;try/V,be/V;body/N;canon/N;early/J;have/V;november/N;reconcile/V;try/V
church/N/br-k10/588,9,9,die/V;faith/N;give/V;have/V;last/N;let/V;proclaim/V;rite/N;salvation/N,die/V;faith/N;give/V;have/V;last/N;let/V;proclaim/V;rite/N;salvation/N
church/N/br-k10/967,8,9,bell/N;climb/V;enter/V;john/N;quicken/V;step/N;tower/N;vast/J,bell/N;climb/V;enter/V;john/N;quicken/V;step/N;steps/N;tower/N;vast/J
church/N/br-k13/533,10,10,ask/V;be/V;eugene/N;harold/N;indicate/V;photograph/N;sculpture/N;stone/N;tell/V;wall/N,ask/V;be/V;eugene/N;harold/N;indicate/V;photograph/N;sculpture/N;stone/N;tell/V;wall/N
church/N/br-k14/1113,7,7,be/V;cardinal/N;get/V;people/N;trouble/N;want/V;work/V,be/V;cardinal/N;get/V;people/N;trouble/N;want/V;work/V
church/N/br-k14/825,10,11,a/N;be/V;colony/N;francesco/N;have/V;near/J;san/N;section/N;tiber/N;trastevere/N,a/N;be/V;colony/N;francesco/N;have/V;near/J;ripa/N;san/N;section/N;tiber/N;trastevere/N
church/N/br-k15/188,11,11,box/N;bury/V;crossroads/N;family/N;funeral/N;hold/V;little/J;morning/N;next/J;plot/N;quiet/J,box/N;bury/V;crossroads/N;family/N;funeral/N;hold/V;little/J;morning/N;next/J;plot/N;quiet/J
church/N/br-k16/1429,8,11,be/N;county/N;creek/N;dutchess/N;fishkill/N;past/J;point/N;white/J,be/N;county/N;creek/N;dutchess/N;east/J;fishkill/N;past/J;point/N;verplanck/N;wappinger/N;white/J
church/N/br-k16/2294,9,10,be/V;boy/N;hudson/N;patriarchal/J;spur/N;steeple/N;thin/J;valley/N;white/J,be/V;boy/N;hudson/N;patriarchal/J;spur/N;steeple/N;thin/J;valley/N;white/J;yes/N
church/N/br-k19/168,7,8,ambition/N;die/V;early/J;exalted/J;have/V;hierarchy/N;office/N,ambition/N;bishopry/N;die/V;early/J;exalted/J;have/V;hierarchy/N;office/N
church/N/br-k19/213,7,8,be/V;demand/V;desire/N;devotion/N;due/J;ego/N;own/J,be/V;demand/V;desire/N;devotion/N;due/J;ego/N;much/J;own/J
church/N/br-k25/80,8,8,be/V;brazil/N;county/N;have/V;obvious/J;pennsylvania/N;private/J;residence/N,be/V;brazil/N;county/N;have/V;obvious/J;pennsylvania/N;private/J;residence/N
church/N/br-l08/1824,7,7,argument/N;be/V;feel/V;go/V;little/J;sunday/N;well/J,argument/N;be/V;feel/V;go/V;little/J;sunday/N;well/J
church/N/br-l08/2109,8,10,different/J;foreign/J;go/V;job/N;name/N;one/N;people/N;place/N,different/J;foreign/J;go/V;job/N;name/N;one/N;people/N;place/N;same/J;sounding/J
church/N/br-m01/1680,11,12,announce/V;be/V;bishop/N;conclave/N;digby/N;have/V;major/N;miracle/N;second/J;secret/J;supreme/J,announce/V;be/V;bishop/N;conclave/N;digby/N;fosterite/N;have/V;major/N;miracle/N;second/J;secret/J;supreme/J
church/N/br-m01/232,6,7,be/V;learn/V;think/V;turn/V;up/V;word/N,be/V;jubal/N;learn/V;think/V;turn/V;up/V;word/N
church/N/br-m01/2358,9,11,continue/V;follow/V;mike/N;of/J;period/N;room/N;stay/V;trip/N;week/N,continue/V;follow/V;ill-starred/J;mike/N;most/J;of/J;period/N;room/N;stay/V;trip/N;week/N
church/N/br-m01/263,6,6,concept/N;god/N;martian/J;match/V;take/V;worship/N,concept/N;god/N;martian/J;match/V;take/V;worship/N
church/N/br-p01/1161,5,6,be/V;cemetery/N;hill/N;rise/V;top/N,be/V;cemetery/N;hill/N;paved/J;rise/V;top/N
church/N/br-p01/222,9,10,command/V;confession/N;elder/N;go/V;month/N;obey/V;saturday/N;sunday/N;youth/N,command/V;confession/N;elder/N;go/V;month/N;obey/V;one/J;saturday/N;sunday/N;youth/N
church/N/br-p01/829,6,6,back/N;care/V;drexel/N;opposition/N;see/V;street/N,back/N;care/V;drexel/N;opposition/N;see/V;street/N
church/N/br-p03/76,6,7,california/N;everybody/N;have/V;idea/N;mention/V;seem/V,california/N;everybody/N;have/V;idea/N;mention/V;seem/V;tolley/N
church/N/br-p03/933,5,5,do/V;have/V;hear/V;sunday/N;tell/V,do/V;have/V;hear/V;sunday/N;tell/V
church/N/br-p04/2429,6,7,be/V;graveyard/N;remember/V;say/V;small/J;wonder/V,be/V;doaty/N;graveyard/N;remember/V;say/V;small/J;wonder/V
church/N/br-p04/983,5,5,be/V;blackwell/N;cemetery/N;door/N;slumber/V,be/V;blackwell/N;cemetery/N;door/N;slumber/V
church/N/br-p06/425,7,7,be/V;courageous/J;do/V;group/N;say/V;sponsor/V;woman/N,be/V;courageous/J;do/V;group/N;say/V;sponsor/V;woman/N
church/N/br-p09/150,7,7,big/J;car/N;fellowship/N;night/N;tool/V;wednesday/N;youth/N,big/J;car/N;fellowship/N;night/N;tool/V;wednesday/N;youth/N
church/N/br-p12/1014,6,6,be/V;say/V;see/V;take/V;taxi/N;trastevere/N,be/V;say/V;see/V;take/V;taxi/N;trastevere/N
church/N/br-p12/1063,7,7,alberto/N;be/V;dinner/N;evening/N;have/V;let/V;tell/V,alberto/N;be/V;dinner/N;evening/N;have/V;let/V;tell/V
church/N/br-p12/1141,8,8,be/V;have/V;look/V;obelisk/N;spanish/N;step/N;top/N;up/V,be/V;have/V;look/V;obelisk/N;spanish/N;step/N;top/N;up/V
church/N/br-p12/1260,5,5,church/N;do/V;go/V;want/V;wonder/V,church/N;do/V;go/V;want/V;wonder/V
church/N/br-p12/1270,7,7,be/V;church/N;do/V;go/V;place/N;want/V;wonder/V,be/V;church/N;do/V;go/V;place/N;want/V;wonder/V
church/N/br-p12/1309,7,7,bad/J;be/V;fault/N;feeling/N;have/V;mother/N;poor/J,bad/J;be/V;fault/N;feeling/N;have/V;mother/N;poor/J
church/N/br-p12/1433,5,5,bad/J;be/V;catholic/J;need/V;take/V,bad/J;be/V;catholic/J;need/V;take/V
church/N/br-p12/1559,7,8,carla/N;get/V;girl/N;go/V;to/J;up/J;up/V,carla/N;get/V;girl/N;go/V;half-hour/N;to/J;up/J;up/V
