_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	foc_base
schaal.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	-0.049631191474716695	0.08078562902726982	1	5000	5000	317	schaal	NA	NA	nobound	366	all	3_3	selection	nav	4_4	BOW
schaal.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall	-0.10208357321699618	0.17008901018239542	1	5000	5000	317	schaal	NA	NA	nobound	366	all	3_3	selection	all	4_4	BOW
schaal.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.0501895445915242	0.04343667354193066	1	FOC	241	317	schaal	NA	NA	nobound	366	all	3_3	selection	nav	4_4	BOW
schaal.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.034810773603524144	0.042681960164029926	1	FOC	366	317	schaal	NA	NA	nobound	366	all	3_3	selection	all	4_4	BOW
schaal.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	-0.013245486845847561	0.09712416971347232	1	5000	5000	318	schaal	NA	NA	nobound	566	all	3_3	no	nav	4_4	BOW
schaal.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	-0.061271441444375775	0.2316939026221597	1	5000	5000	318	schaal	NA	NA	nobound	566	all	3_3	no	all	4_4	BOW
schaal.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.08334767250276155	0.06410220197197984	1	FOC	342	318	schaal	NA	NA	nobound	566	all	3_3	no	nav	4_4	BOW
schaal.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	0.0859899516589243	0.07658693153569195	1	FOC	566	318	schaal	NA	NA	nobound	566	all	3_3	no	all	4_4	BOW
schaal.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	-0.1376568058332964	-0.017553155691328197	1	5000	5000	316	schaal	selection2	NA	bound	263	NA	NA	weight	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	-0.16810776689533138	0.008314061463793286	1	5000	5000	316	schaal	selection2	NA	bound	263	NA	NA	weight	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10249546540620416	-0.017961742770437168	1	FOC	187	316	schaal	selection2	NA	bound	263	NA	NA	weight	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	-0.12681325377997357	-0.01763918714175733	1	FOC	263	316	schaal	selection2	NA	bound	263	NA	NA	weight	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	-0.12903782538178754	0.06302653940092967	1	5000	5000	316	schaal	selection2	NA	bound	263	NA	NA	selection	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	-0.14398371160687237	0.13778599976214279	1	5000	5000	316	schaal	selection2	NA	bound	263	NA	NA	selection	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.08135952760439882	0.05981121487093509	1	FOC	187	316	schaal	selection2	NA	bound	263	NA	NA	selection	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	-0.09738766209425541	0.05650132486194848	1	FOC	263	316	schaal	selection2	NA	bound	263	NA	NA	selection	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	-0.12865187485687227	0.055428873772183064	1	5000	5000	317	schaal	selection2	NA	bound	392	NA	NA	no	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall	-0.1493577391520928	0.15982681454059275	1	5000	5000	317	schaal	selection2	NA	bound	392	NA	NA	no	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	-0.07602315876017081	0.062400355682178284	1	FOC	263	317	schaal	selection2	NA	bound	392	NA	NA	no	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	-0.07632678733135916	0.054732844014043616	1	FOC	392	317	schaal	selection2	NA	bound	392	NA	NA	no	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	-0.0952670016484304	-0.027012737190906317	1	5000	5000	317	schaal	selection3	NA	bound	414	NA	NA	weight	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	-0.1302425020717661	-0.0073913575577520645	1	5000	5000	317	schaal	selection3	NA	bound	414	NA	NA	weight	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.03645413212846683	-0.03924580718109141	1	FOC	270	317	schaal	selection3	NA	bound	414	NA	NA	weight	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	-0.04287685463341732	-0.031174790628083936	1	FOC	414	317	schaal	selection3	NA	bound	414	NA	NA	weight	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	-0.04173391321973782	0.07883693059445568	1	5000	5000	317	schaal	selection3	NA	bound	414	NA	NA	selection	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	-0.06952200139396773	0.25068394074347994	1	5000	5000	317	schaal	selection3	NA	bound	414	NA	NA	selection	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	0.06577108579001201	0.040532363031580046	1	FOC	270	317	schaal	selection3	NA	bound	414	NA	NA	selection	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	0.04502012087215948	0.03995717842452618	1	FOC	414	317	schaal	selection3	NA	bound	414	NA	NA	selection	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	0.002041575270902182	0.08803996940127569	1	5000	5000	317	schaal	selection3	NA	bound	693	NA	NA	no	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	0.004680463768117309	0.3130919290293287	1	5000	5000	317	schaal	selection3	NA	bound	693	NA	NA	no	all	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	0.11424360109689218	0.047298231222095595	1	FOC	424	317	schaal	selection3	NA	bound	693	NA	NA	no	nav	4_4	LEMMAPATH
schaal.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	0.12343475118044993	0.06645779075485862	1	FOC	693	317	schaal	selection3	NA	bound	693	NA	NA	no	all	4_4	LEMMAPATH
schaal.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.11506257698966249	0.05530591492988717	1	5000	5000	317	schaal	weight	NA	bound	414	NA	NA	selection	nav	4_4	LEMMAPATH
schaal.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.12714909362617818	0.11899727166680109	1	5000	5000	317	schaal	weight	NA	bound	414	NA	NA	selection	all	4_4	LEMMAPATH
schaal.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.058381313296859694	0.03919613374333567	1	FOC	270	317	schaal	weight	NA	bound	414	NA	NA	selection	nav	4_4	LEMMAPATH
schaal.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.05976514027774981	0.04017003863958782	1	FOC	414	317	schaal	weight	NA	bound	414	NA	NA	selection	all	4_4	LEMMAPATH
schaal.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-0.10078159985454604	0.05076070176820466	1	5000	5000	317	schaal	weight	NA	bound	693	NA	NA	no	nav	4_4	LEMMAPATH
schaal.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.12025998472890218	0.14398907920096332	1	5000	5000	317	schaal	weight	NA	bound	693	NA	NA	no	all	4_4	LEMMAPATH
schaal.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.0436031295026231	0.04210844747366397	1	FOC	424	317	schaal	weight	NA	bound	693	NA	NA	no	nav	4_4	LEMMAPATH
schaal.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.04264303021358975	0.040741064590256684	1	FOC	693	317	schaal	weight	NA	bound	693	NA	NA	no	all	4_4	LEMMAPATH
schaal.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	-0.24553558026642328	-0.007696627334341839	1	5000	5000	309	schaal	NA	group1	bound	72	NA	NA	weight	nav	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	-0.25278981328670364	0.01655743347529059	1	5000	5000	309	schaal	NA	group1	bound	72	NA	NA	weight	all	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2664122085599542	-0.016026948722011134	1	FOC	44	309	schaal	NA	group1	bound	72	NA	NA	weight	nav	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	-0.27328007766089424	-0.022187737380547974	1	FOC	72	309	schaal	NA	group1	bound	72	NA	NA	weight	all	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-0.1673785001034045	0.07968151835572773	1	5000	5000	309	schaal	NA	group1	bound	72	NA	NA	selection	nav	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-0.16291176947088382	0.11191904514292746	1	5000	5000	309	schaal	NA	group1	bound	72	NA	NA	selection	all	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20874200431971937	0.06500861295212855	1	FOC	44	309	schaal	NA	group1	bound	72	NA	NA	selection	nav	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-0.23993823102999848	0.04909044292940227	1	FOC	72	309	schaal	NA	group1	bound	72	NA	NA	selection	all	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-0.16358300951809648	0.07584742521678033	1	5000	5000	311	schaal	NA	group1	bound	110	NA	NA	no	nav	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-0.1647790872613918	0.12478311115762379	1	5000	5000	311	schaal	NA	group1	bound	110	NA	NA	no	all	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-0.18104805849547087	0.0732488304230271	1	FOC	64	311	schaal	NA	group1	bound	110	NA	NA	no	nav	4_4	LEMMAREL
schaal.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-0.2234459491731032	0.06519533756245313	1	FOC	110	311	schaal	NA	group1	bound	110	NA	NA	no	all	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	-0.16610252637031647	-0.006967711192181814	1	5000	5000	315	schaal	NA	group2	bound	221	NA	NA	weight	nav	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	-0.1912553250221799	0.015033021234698301	1	5000	5000	315	schaal	NA	group2	bound	221	NA	NA	weight	all	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.16091085109623865	-0.01493696816828673	1	FOC	168	315	schaal	NA	group2	bound	221	NA	NA	weight	nav	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	-0.15250566526189827	-0.0036634166845489115	1	FOC	221	315	schaal	NA	group2	bound	221	NA	NA	weight	all	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	-0.14394005964463572	0.07010904350576637	1	5000	5000	315	schaal	NA	group2	bound	221	NA	NA	selection	nav	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-0.15055415107765335	0.1327157753594938	1	5000	5000	315	schaal	NA	group2	bound	221	NA	NA	selection	all	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.13673830306545123	0.08101724919677886	1	FOC	168	315	schaal	NA	group2	bound	221	NA	NA	selection	nav	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	-0.1269808481147047	0.0827447627340346	1	FOC	221	315	schaal	NA	group2	bound	221	NA	NA	selection	all	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-0.14354513711743178	0.0646300748002521	1	5000	5000	316	schaal	NA	group2	bound	303	NA	NA	no	nav	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-0.15523613055006041	0.15493059399782766	1	5000	5000	316	schaal	NA	group2	bound	303	NA	NA	no	all	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-0.10605998553787434	0.07296188758723983	1	FOC	224	316	schaal	NA	group2	bound	303	NA	NA	no	nav	4_4	LEMMAREL
schaal.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-0.09794896167499406	0.07358378870737717	1	FOC	303	316	schaal	NA	group2	bound	303	NA	NA	no	all	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	-0.1669018337783871	-0.012951325373470695	1	5000	5000	315	schaal	NA	group3	bound	232	NA	NA	weight	nav	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	-0.19036089453831337	0.010096725964716648	1	5000	5000	315	schaal	NA	group3	bound	232	NA	NA	weight	all	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1622143143829223	-0.024588362654177968	1	FOC	172	315	schaal	NA	group3	bound	232	NA	NA	weight	nav	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	-0.15848414693248944	-0.017716230912984108	1	FOC	232	315	schaal	NA	group3	bound	232	NA	NA	weight	all	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	-0.13945637807812225	0.06540780037128857	1	5000	5000	315	schaal	NA	group3	bound	232	NA	NA	selection	nav	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	-0.14876996608921214	0.13266710312669167	1	5000	5000	315	schaal	NA	group3	bound	232	NA	NA	selection	all	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1365636294805592	0.08150491573030373	1	FOC	172	315	schaal	NA	group3	bound	232	NA	NA	selection	nav	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	-0.10168446051948649	0.06857940091027799	1	FOC	232	315	schaal	NA	group3	bound	232	NA	NA	selection	all	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	-0.13870232094381837	0.060652781234688403	1	5000	5000	316	schaal	NA	group3	bound	337	NA	NA	no	nav	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	-0.15326690163392426	0.1588120709216824	1	5000	5000	316	schaal	NA	group3	bound	337	NA	NA	no	all	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	-0.10261482457224345	0.07311244181055392	1	FOC	236	316	schaal	NA	group3	bound	337	NA	NA	no	nav	4_4	LEMMAREL
schaal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	-0.09358057657523136	0.06628611929807529	1	FOC	337	316	schaal	NA	group3	bound	337	NA	NA	no	all	4_4	LEMMAREL
